vote_id,vote_date,vote_category,bill_id,impact_tag,reason_code,sponsor_party,source_url,notes
h-119-1-281,2025-09-19,PASSAGE,hr-5371-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll281.xml,
h-119-1-282,2025-09-19,PASSAGE,hres-719-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll282.xml,
s-119-1-527,2025-09-19,PASSAGE,s-2882-119,,NO_IMPACT_TAG,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00527.xml,
s-119-1-528,2025-09-19,PASSAGE,hr-5371-119,,NO_IMPACT_TAG,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00528.xml,
s-119-1-529,2025-09-19,CLOTURE,pn-343-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00529.xml,
s-119-1-530,2025-09-19,NOMINATION,pn-343-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00530.xml,
s-119-1-531,2025-09-29,CLOTURE,pn-342-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00531.xml,
s-119-1-532,2025-09-29,NOMINATION,pn-342-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00532.xml,
s-119-1-533,2025-09-29,CLOTURE,s-2806-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00533.xml,
s-119-1-534,2025-09-30,PASSAGE,s-2882-119,,NO_IMPACT_TAG,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00534.xml,
s-119-1-535,2025-09-30,PASSAGE,hr-5371-119,,NO_IMPACT_TAG,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00535.xml,
s-119-1-536,2025-10-01,CLOTURE,s-2882-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00536.xml,
